Title,Artist,Nationality,BeginDate,EndDate,Gender,Date,Department,Cost
Dress MacLeod from Tartan Sets,Sarah Charlesworth,(American),-1947,-2013,(Female),1986,Prints & Illustrated Books," 1,118 "
"Duplicate of plate from folio 11 verso (supplementary suite, plate 4) from ARDICIA",Pablo Palazuelo,(Spanish),-1916,-2007,(Male),1978,Prints & Illustrated Books," 1,433 "
Tailpiece (page 55) from SAGESSE,Maurice Denis,(French),-1870,-1943,(Male),1889-1911,Prints & Illustrated Books," 1,405 "
"Headpiece (page 129) from LIVRET DE FOLASTRIES, À JANOT PARISIEN",Aristide Maillol,(French),-1861,-1944,(Male),1927-1940,Prints & Illustrated Books," 1,096 "
97 rue du Bac,Eugène Atget,(French),-1857,-1927,(Male),1903,Photography," 1,341 "
Pictorial ornament (folio 11) from WOODCUTS,Antonio Frasconi,(American),-1919,-2013,(Male),1957,Prints & Illustrated Books, 915 
Rue de l'Hôtel-de-Ville,Eugène Atget,(French),-1857,-1927,(Male),1924,Photography," 1,161 "
Los Angeles Airport,Garry Winogrand,(American),-1928,-1984,(Male),1978-1983,Photography," 1,008 "
Why Defy from Disasters of Peace,Diane Victor,(South African),-1964,,(Female),2001,Prints & Illustrated Books, 900 
STILL WATER AND FISH,David Brown Milne,(Canadian),-1882,-1953,(Male),-1941,Prints & Illustrated Books," 1,135 "
In-text plate (folio 11) from LA MÉTROMANIE,Jean Dubuffet,(French),-1901,-1985,(Male),1949-1950,Prints & Illustrated Books," 1,098 "
Black Bathroom,Jim Dine,(American),-1935,,(Male),1963,Prints & Illustrated Books," 1,305 "
In-text plate (page 108) from LYSISTRATA,František Kupka,(Czech),-1871,-1957,(Male),1908-1911,Prints & Illustrated Books," 1,335 "
Transcendence. Designs for the Ballet,Franklin Chenault Watkins,(American),-1894,-1972,(Male),-1934,Drawings," 1,427 "
Untitled,Christopher Wool,(American),-1955,,(Male),1997,Prints & Illustrated Books," 1,136 "
Isadora Duncan,Abraham Walkowitz,(American),-1878,-1965,(Male),(1931-1933),Drawings," 1,007 "
L'Avenir de la Propriété,Pierre Alechinsky,(Belgian),-1927,,(Male),1972,Prints & Illustrated Books, 935 
Arundel Castle from Black Series I,Frank Stella,(American),-1936,,(Male),1967,Prints & Illustrated Books, 944 
"Block fragments from the Samuel Freeman House, Los Angeles, CA",Frank Lloyd Wright,(American),-1867,-1959,(Male),1923-1924,Architecture & Design," 1,387 "
Plate (folio 35) from ACORDE,Vicente Rojo,(Spanish),-1932,,(Male),1979,Prints & Illustrated Books," 1,291 "
"Wolf House, Gubin, Poland (Third floor plan)",Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),1925-1927,Architecture & Design," 1,376 "
"SA. Sovremennaia Arkhitektura (CA. Contemporary Architecture), no. 5",Varvara Stepanova,(Russian),-1894,-1958,(Female),1929,Prints & Illustrated Books," 1,409 "
Untitled,Richard Serra,(American),-1938,,(Male),1972,Drawings," 1,347 "
Research on the Origin,Robert Filliou,(French),-1926,-1987,(Male),1974,Prints & Illustrated Books," 1,293 "
